,id,text,og_svm,mcad_svm,chatgpt_svm,flan_svm
47,6000,"@hd_kumaraswamy @RahulGandhi @ArvindKejriwal @trspartyonline @SitaramYechury @MamataBanerji Unfortunate political devpt in India Dissolve all parties including INC. HDD, Sonia, 2Sharadjis, Mamata, Mayavati, Abhishek, Stalin, TRS, Jagmohan, Faruk& Chandrbabu take lead &save India.",1,1,0,1
48,1797,"Bhakts are hilarious!  They think Twitter Trends are going to change the weather, the ICC and literally anyone else apart from people who share their shitty ideology.   #ShameOnICC my ass 🤣🤣🤣",1,1,1,0
49,3192,He is already starting this talk. We need to act now before we have no choice! #TrumpIsATraitor #LockHimUp #TrumpIsTheEnemyOfThePeople https://t.co/XI2WvVKtr5,1,0,0,0
50,4178,Pic 1- icc on Ms Dhoni gloves.  Vs   Pic 2- icc planning world cup.  #ShameOnICC https://t.co/3mM6QjwpNN https://t.co/pAuS8ic6uX,1,1,1,1
51,1383,@billmaher  continues to try sooooo hard to remain relevant. #MSM is the only one who cares #LowRatings #LowIQ #DrugAddict #SexFiend #DoucheBag,1,1,1,1
52,5926,No Muslim MP of both houses favoured Teen Talaq bill. Teen Talaq stopped scope of call to these MP's and all opposing MP from Mulla Maulvi Imam to perform HALALA. Now they do additional sex with ladies of his own house's. @ghulamnazad @OmarAbdullah @salman7khurshid @ahmedpatel,0,0,0,0
53,1998,"Good morning @RealDonaldtRUMP, have a nice sleep you fucking bitch? #maga #FOXNews #FuckTrump @GOP #WednesdayWisdom https://t.co/5L5mWnTlzv",1,1,1,1
54,6641,This is called group halala....Islam permits this...so stop cribbing and pointing fingers. Islam is a peaceful religion and the Muslims are a afraid group.,0,0,0,0
55,5042,@ICC please focus on umpiring rather than what a player should wear #DhoniKeepsTheGlove,1,1,0,1
56,3026,Hey everybody I just released a new single entitled “For The People” if you could take a few minutes out of your day and give it a listen and share it if you like it I would greatly greatly appreciate it #punkrock #politicalpunk #NewMusic #fucktrump https://t.co/Kx8EvolZmQ,0,1,0,0
57,3240,Becaaauuusssse ... thinks to self *I'm lying right now* #TrumpIsATraitor #TrumpRussia https://t.co/H1OJgA0Mr2,0,1,1,0
58,1936,"My god, such a loser. #fucktrump https://t.co/VOaMDvuamA",1,1,1,1
59,4830,"#IndiaVsPakistan is a one sided affair all the time.   The hype gets created by #TerroristNationPakistan   The fact is, #PakistanCricket, #PakistanArmy or #PakistanEconomy is no match for #India   #IndianCricketTeam proved it today.   #FathersDay slap from a real father!!  #INDvPAK",0,1,1,0
60,3757,Saying @Conservatives are England team - they may play for different clubs but they come together for England say @michaelgove. Only problem with that analogy is that @BorisJohnson refuses to attend training+expects to be made captain. #Eton privilege? #BorisJohnsonShouldNotBePM https://t.co/4NySvWv5hP,0,1,0,0
61,1424,@realDonaldTrump Well HAPPY FU€KING BDAY TO YOU A$$HOLE....MAY IT BE YOUR LAST🙏🙏🙏🙏🙏 #TrumpIsATraitor #TrumpMustResign #TrumpsAnInternationalDisgrace #TrumpResignNow #DumpTrump #TrumpsBirthday is his last🙏,1,1,0,1
62,411,@ICC @BCBtigers can repeat the history. Its Difficult to beat @englandcricket in their own soil.  All the best to both team.  It will be great fight.  #DhoniKeepTheGlove   #DhoniKeepsTheGlove,0,0,0,0
63,6056,TM taught us to include the year. #Brexit by 31 Oct 2019.,0,1,0,1
64,5298,Where is icc are you fully blind @ICC @cricketworldcup #ICCWorldCup2019 #DhoniKeepsTheGlove #pkmkb https://t.co/RFnDnzpSLg,1,1,1,1
65,4187,@Wimbledon and @icc should have some sort of communication 2019 will have two final on same day #July14. How can someone be so wrong on planning such an important event #WC2019 #ShameOnICC #ICCWorldCup2019  pathetic planning https://t.co/M2KmJZIiE3,1,1,1,1
66,4052,#ShameOnICC what a bunch of useless people working for @ICC. The whole frenzy of World Cup is ruined. Who elect these suckers,1,1,1,1
67,6478,but can buy raw meat from muslim shop.,1,1,1,1
68,2650,"Doctors studded almost half of thire life just become a worthy of that WHITE COAT &amp; they have invested a lot of money and time for that. They too have life, they too have families, they are also a human being. They just want respect and safety.   #Savethedoctors #DoctorsFightBack",0,0,0,0
69,2574,"Aren't we overdoing this sense of Pride, Nationalism bit on #DhoniKeepsTheGlove. There are clear #ICC rules about logos etc. it's important to follow the rules rather than  flex muscles. We are playing the world cup not doing a military ops.",1,1,0,0
70,5229,#TrumpIsATraitor   #ImpeachTrumpNow   Have to agree that his undeserved Hollywood Star should bear the epithet TRAITOR for all to see for posterity https://t.co/LT8AEGYsw7,1,1,1,0
71,5216,Why people eagerly wait 4 years for the @cricketworldcup? To see the rain???? To see matches getting abandoned??? To see teams share a point each without even proper competition??? That's really #ShameOnICC. #CWC19,1,1,0,1
72,6942,I hope BJP remembers Constitution and death of so many children: @asadowaisi,1,1,1,1
73,772,Rationalizing #treason    #IdiotOrange™ #TrumpIsaTraitor #IMPEACH45    https://t.co/HCqoxdTzvv  https://t.co/YmHIVE86R8  https://t.co/QTsVuBHVgY  https://t.co/GXlNPdFHNO    @realDonaldTrump @VP @PressSec @SenateMajLdr @SenJeffMerkley @ChuckSchumer @SpeakerPelosi https://t.co/cusdGaUIru,1,1,1,1
74,2359,@realDonaldTrump is just a greasy piece of shit. The world is darker with him in it.     #Iran #TrumpIsATraitor #TrumpMustResign #TrumpsAnInternationalDisgrace #TrumpResign #TrumpTantrum #jailtrump #IndictTrump #ImpeachTrumpNow #ImpeachDonaldTrumpNOW #ImpeachTrump https://t.co/9RH8JL8g75,1,1,1,1
75,2336,"The confusion created by the Right-Wing extremists, or otherwise known as Republicans, resulted in #Trump in the White House    Reinstate #CommonSense    #TrumpIsATraitor #CorruptGOP #GOPcorruptionandcruelty #GOPComplicitTraitors #Resisters #ResistersForum #ResistanceUnited #VoteBlue https://t.co/N0JRcXKaj4",1,1,1,1
76,1849,@csmay144k @realDonaldTrump @MarshaBlackburn God Bless a Real American 🇺🇸👍🏆🥇#TrumpIsATraitor   #JohnMcCainDay https://t.co/8s7p070c3F,1,1,1,1
77,3074,@MelvinVogelsang @Derek_FacT @peoplespca @MaximeBernier @PrideSaskatoon Ah Nigel. Seem you really do represent the lgbt values well. 🙄. Not once but twice. #douchebag https://t.co/tMnB2PPd8Z,1,1,0,1
78,4555,@SenJohnKennedy Anyone who invites anyone else to attack America is a traitor. I think that’s fair. #TrumpIsATraitor  #JohnMCainDay,1,0,0,1
79,3727,So why hasn’t it?  #FuckTrump #OrangeFoolius #BeBest #MAGA #AmericaFirst https://t.co/SwkgQAWyYR,1,1,1,1
80,1231,@nytimes Whoever brought the charges against him should themselves be brought up on charges. #HumanRights #FuckTrump,1,1,1,1
81,444,@INCIndia We know who’s power hungry. We haven’t forgotten what this vile woman did to #PVNarasimhaRao and his legacy. #congressmuktbharat,1,1,1,0
82,1115,This is why i love this motherfucker...    Shuts people down easily    #ArabForPresident  #FuckTrump https://t.co/nnufeKXPPn,1,1,1,1
83,3265,@rajnathsingh ji are presstitutes authorised to belittle/disrespect the Officers &amp; their armed forces under the garb of journalism?     #DhoniKeepsTheGlove https://t.co/sCZM4G4Ntv,0,1,0,0
84,6545,Hindu: I don't want my food being delivered by a M in this month of the season.  #Zomato: Religion my ass. Food is religion.     Muslim: I will not accept non halal food.  Z: Forgive us your highness. We respect your religious sensibilities and will do as thy command #boycottzomato,1,0,0,1
85,4334,@realDonaldTrump You must be unaware that when old tattered flags are retired from service they are often burned in a respectful  ceremony.   Will this law make this illegal?  #Dotard   #TrumpIsADisgrace   #TrumpIsATraitor   #TrumpIsAFraud   #TrumpIsAMoron   #TrumpIsTheEnemyOfThePeople   #TRUMPISACROOK,0,0,0,0
86,628,@BetoORourke Hey Beto shut the front door Robert Francis O’Rourke  conMan #DoucheBag,1,1,1,0
87,4253,'England's rainy weather is putting a damper on cricket fans' moods ☔️'  #ShameOnICC  #CWC19  https://t.co/qWugztWetW,1,1,1,1
88,2820,"Now mamata didi cancels her meeting with the striking doctors. Shows het immaturity. She dreams of becoming the leader of India, but she is no statesman. She had egoistical mind, acts childish and behaves as a tyrant.  #DoctorsFightBack #DoctorsProtest",1,1,1,1
89,5071,@thehill The Acting Defense Secretary acting like he knows what he's talking about. #TrumpIsATraitor #TrumpLiesEveryTimeHeSpeaks #trumpswamp #WagTheDog,1,1,1,1
90,1654,India's bowling now..and every lunatic's eyes will be on Dhoni's gloves...Damn..#BalidanBadge insignia or not..who dafaq cares!!??#ICCWorldCup2019 #INDvAUS .. seriously..who cares if #DhoniKeepsTheGlove !?,1,1,1,1
91,1706,Here is Yoga for Women... Read more...  Remain Young and Fit with Yoga and know more benefits.    #WorldBloodDonorDay #ShameOnICC #SaveBengal #FridayFeeling  #SCOSummit2019 #MenInBlackReview #TheUnmissableMeeting  #doctorsstrike #ENGvWI https://t.co/xdvyFE5fYj,1,1,0,0
92,2990,#PakMoksAbhi in a as in d build up to d #IndvsPak match on 16th. We take strong objection to it @KirenRijiju pls do something don't expect anything from @BCCI we saw d #DhoniKeepsTheGlove issue left us red-faced,0,0,0,0
93,6040,Someone need specific then what is problem why zomato not done its better not make issue talk to amit shukla and every Hindu is not stand on meet shop dear others user so don't write this word halal or chicken,1,1,1,1
94,945,#Alabama did nothing about the #Rapist.    The #Court is ordering the #Victim  to allow #VisitationRights or she goes to #Jail.    #Rapists who created the children gets nothing.    #Vicitim parent—forced to bare them—goes to jail.    #Alabama enforces #ShariaLaw.    https://t.co/g98G1OEq8l,1,0,1,1
95,6491,Woh toh zomato ko bhiksha de Raha tha,0,0,0,0
96,344,#ShameOnICC there is no rain in england matches why?,1,1,0,0
97,6139,"@realDonaldTrump Detroit mayor tells truth. Trump hasn t been back since elected ( stealing the election with help from Russia ) .. big mouth trump has not followed thru on much , though we wants credit for all. #fucktrump #conman #beattrump2020",1,1,1,1
98,142,"Oh Emma , Its not a competition also you already lost #FuckTrump https://t.co/D2EInMUiws",1,1,1,1
99,6381,This is love.   .    #Manus #Nauru #EndImmigrationDetention #RefugeesAreWelcome https://www.instagram.com/p/Bt50Z9vlyk5/?utm_source=ig_twitter_share&igshid=17n5rz8uuqe61 …,0,1,0,0
100,4667,@realDonaldTrump You are a joke. #Douchebag,1,1,1,1
101,6236,"Democracy is a bitter pill. Only people who could upend peace are terrorists, you may know some.. disgusting scaremongering.    'Bluster and bravado' is a perfect description for Sinn Fein who are loyal European Unionists and champions of the EU Commonwealth.",1,1,1,1
102,2280,#Trump Tweets About Epic Interview Fail &amp; Gets Mocked Like A Clown #TrumpIsATraitor #VoteBlue2020  https://t.co/5s2tNnBY8u,1,1,1,1
103,2361,ICC showed his full attention towarrds Dhoni's gloves  But gives a few attention in choosing a perfect place for the world cup 2K19   #ShameOnICC https://t.co/rFftuJMrHI,0,1,1,0
104,6232,If circa 120 people landing on Britain’s shores qualifies as a #migrantcrisis then I can’t wait for the headlines after the 29th March.... #brexitshambles #brexit #refugeesarewelcome,1,1,0,1
105,6901,"Wow, that's a wonderful truth that needs to be told to each and every Indian. I am sure, most of us are unaware of this, since the media never show this to us. Thank-you very much @KapilMishra_IND ji for sharing this.",1,0,0,1
106,4031,"@Acosta @ReliableSources @brianstelter @CBSSunday “The enemy of the people, Jim Acosta”  At least he admits it.  #selfown #dickhead",1,1,1,1
107,5550,@TMZ Gross just like her 🤮 #Drugger #Rapist #Robber,1,1,1,1
108,2290,"Are Muslims, in general a nuisance to be tolerated by the rest of the world ?  #SaveBengal  #DoctorsFightBack   #DoctorsStrike   #MamtaBanerjee",0,0,0,0
109,3427,A brilliant spoof of this moron being tipped by morons for PM. Goes to show just how embarrassing politics is in this small minded country. #BorisJohnsonShouldNotBePM https://t.co/vS7rO5zNbX,1,1,1,1
110,5863,"'In Kerala, it's all halal'.    Of course, sickular bastion that it is.    'Here they serve pork too.'    Lol, highly unlikely in any district with more than 20% Muslim population. A church bishop was beaten up for serving pork to non-muslim students in this very same Kerala lol.",1,1,0,0
111,6208,"“Q”: How do you plan out for the widespread activation of sleeper cells and disaffected Muslim youth (both sexes) of military age into performing terrorist attacks the breadth & width of the country? @MonkHeretical has the answer, but no one will like it. @QTAnon1  @DanMcCaughan",0,0,0,0
112,5549,EXCLUSIVE: The Central Park Five’s Yusef Salaam calls Trump ‘the devil’     And he is! #FuckTrump,1,1,1,1
113,5220,"@realDonaldTrump https://t.co/NxLoLUO6F9  How Dare You?? #zerotolerance #tRump send him to #Mars2020   Take your asses back to Europe, #murderers!! You are the #IllegalImmigrants. You are the #rapist, #thug, the #criminal!! #ImpeachmentNOW this is not your land!! #GetOut!!",1,0,1,1
114,1056,"NO SHIT, SHERLOCK! #FuckfaceVonClownstick wants impeachment. . .it’s more attention and he can play “poor me.”  #FuckTrump https://t.co/WIlxE9WQf7",1,1,1,1
115,1593,King Joffrey: 47%  Donald Trump: 41%    #FuckTrump   #Trump41,1,1,1,1
116,3868,@Banks want to explain yourself? @AlissaViolet @FaZeClan @FaZeApex @FaZeBlaze @FaZeAdapt @JohnScarce @FaZe_Rain #TrumpSupporter #fucktrump https://t.co/fl2jaY7m92,1,1,0,1
117,179,"Kamala Harris’s plan to provide DREAMers a pathway to citizenship, explained #Resist #ResistTrump #FuckTrump https://t.co/WfsltWy6NJ",0,1,0,0
118,1490,"“Johnson doesn’t just seem like a fucking moron, he is a fucking moron” #BorisJohnsonShouldNotBePM #ToryLeadeshipContest https://t.co/Ro7lCqvru2",1,1,1,1
119,3270,"@megan_thescript @LittleMissLizz Today at the bank an old lady asked me to help check her balance... So I pushed her over. 🤷‍♂️    These are my dogs, Sophie and Maggie.  #FuckTrump https://t.co/Dw9Mv4kDv3",1,1,1,1
120,46,Hey Trump ! These lovely ladies got something to tell ya ....  #FUCKTRUMP https://t.co/s1WhlaPaMf,0,0,1,0
121,733,.@BorisJohnson is using his column this morning to promise tax cuts for high earners. This would cost £9.6bn.    Never mind spending that on things like:    👉🏾Supporting the 4.5m children in poverty    👉🏾Helping the record number of families using food banks    #BorisJohnsonShouldNotBePM,1,1,0,1
122,6093,Boris has more pressure on him than May ever did. After 3 years of patience and watching we are not prepared to wait any longer. It really is “do or die” and @Nigel_Farage needs to be ready to strike.,0,0,0,0
123,5454,Govt school adopted by IMA appointed unqualified teachers based on their     #IMAFraud #PonziScheme     investments https://t.co/rqt6X1YdBQ,0,1,0,0
124,5793,#baapbaaphotahai  cockroaches will always be cockroaches   #terroristNationPakistan,1,0,0,1
125,3788,"Former EPA administrators blast Trump admin on science, regulation rollbacks #Resist #ResistTrump #FuckTrump https://t.co/HDU0rg7BcS",1,1,1,1
126,5033,#ShameOnICC    Shame on ICC    ICC was exposed where is there preparation     Shame https://t.co/e99J1AeMrC,1,1,1,1
127,6565,"My job is to make your streets safer. That begins with recruiting another 20,000 police officers.",1,1,0,1
128,2783,"@ICC - Are you sure, you are credible enough to conduct cricket world cup?    Stop just staring and pointing out at attire of cricketers    #Dhonigloves  #ENGvWI   #ShameOnICC   #WeTheNorth",1,1,1,1
129,6067,"Boris Johnson promises to make Britain ‘greatest country on earth’ as he... https://youtu.be/STLNxFnIhTs  via @YouTube    The Sovereignty of Nation States defies UN collectivization of the planet.  Individuals are not ready to be transferred to a Gulag, Canada included.",0,1,0,1
130,3892,FATAH: Why Shariah mortgage is a deception https://t.co/saoQ8EdbxE  #IMA    #IMAJewelsFraud   #IMAJewels  #IMAScam   #IMAFraud  #MansoorKhan  #IMAFraudCase   #Bangalore,1,1,1,0
131,306,I suggest @BCCI should walk out this World cup so that @ICC understands that they should be fair with every teams. #DhoniKeepsTheGlove,0,1,0,1
132,165,@realDonaldTrump Russian elected twit is #PutinsPuppet #TrumpIsATraitor https://t.co/8BHnUobBlE,1,1,1,1
133,2793,"Dear patients,  U are worth saving, but you are definitely not worth dying for.  Sincerely,  Your doctor.  #SaveTheDoctors  #standwithNRS #DoctorsFightBack https://t.co/qjHHNSKrVz",0,0,0,0
134,1191,Happy #JohnMcCainDay !     #FuckTrump   #ImpeachTrumpNow https://t.co/ggcFanQCJ5,0,0,0,0
135,6349,#LoveSong For #Bataclan #PrayForParis: Toto    Africa http://ift.tt/nD6XL1       #ParisAttacks,0,1,0,0
136,182,Correct. Now is not the time for moderation. You cannot be moderate with your head inside the tiger's mouth. #FuckTrump https://t.co/IwEk3oZA1k,0,1,1,0
137,6421,"Spouting idealistic platitudes about how the religion is SUPPOSED to work does not mean that is how the community functions. I can think of one (1) non-black Muslim leader who actively addresses racism, who publicly aligns himself with #BLM and who stands against police brutality",1,1,1,1
138,2901,The world doesn't gave saved by Trump. It gets saved when we remove our support for the Gov. \n#qanon,1,1,0,0
139,5740,@realDonaldTrump @GOPLeader Republicans just might block your tariffs! #fucktrump #trumpsanidiot #resist #trumptrainwreck #TrumpProtest #DerangedDonald #TrumpBiggestLoserInHistory #AgolfTwitler #adultdaycarefortrump #trumpcrimefamily #ImpeachTheMFTraitor #DotardDonnie #TrumpsAnInternationalDisgrace https://t.co/d3oMdSeMQt,1,1,1,1
140,2403,#TerroristNationPakistan 90% Pakistanis wants war with India and 10% said war should not be.     And   Those 10% belongs to Pakistans Armed Forces    😂    #TerroristNationPakistan,1,1,0,1
141,2109,"If @Conservatives MPs end up voting 4 @BorisJohnson despite his avoidance of public debate &amp; present himself, it shows the party is rotten 2 the core; it will show that deals have been made with MPs. People should C #borisjohnson’s incompetence on stage #BorisJohnsonShouldNotBePM",1,1,1,1
142,6925,This is the funniest thing you will see today!,1,1,1,1
143,6235,"Muslim 2 his wife  Talaq-Talaq-Talaq,wife chats back Modi-Modi Modi.This is a Victory 4 Fair sex.India rejoices today as da Triple Talaq Bill Passed Jai Hind",0,1,0,1
144,5113,Well Flint still doesn’t have drinkable water &amp; 9/11 first responders are going with out proper medical care....BUY HEY at least Air Force One is getting a pointless paint job!! 🖕🏻🤨🖕🏻 #FuckTrump #IMPEACHTRUMP,0,1,0,0
145,6986,"Before abusing me, kindly explain these 2 posts shared by Vinod, your husband. Which 'Indian Couple' is being shown in the gulf news as rescuers? Why is he thanking all (and pat his back) on tweet? What role did he had to play when she was already rescued? https://twitter.com/sakshijoshii/status/1145218792617676800 …",1,1,1,1
146,4180,@joshscampbell He is the only person I’ve ever blocked. #Murderer 🖕OJ  🤓,1,1,1,1
147,3648,What a complete babbling #idiotTrump! #MoronInChief @gtconway3d https://t.co/UE2ITKR8r8,1,1,1,1
148,5317,"@RepMikeJohnson I'd rather spend my tax dollars investigating the orange criminal occupying the white house, than wasting taxpayer money on trump's endless golfing while he violates the emoluments clause! #Resist #VoteBlue #ImpeachTheMF #trumpisaloser #FuckTrump",1,1,1,1
149,1410,We are loosing our freedom     #TrumpIsANationalSecurityThreat #TrumpIsATraitor #ImpeachmentInquiryNow #RussianAsset #Trump #ImpeachTrumpNow #ImpeachTheMFTraitor #ImpeachTheMFer https://t.co/AJYSa0uOYI,1,1,1,1
150,4484,The English love a buffoon but the Boris Johnson joke went tragically wrong | News | The Times https://t.co/AIxx2V5FtC  #BorisJohnsonShouldNotBePM,1,1,0,0
151,6856,"Oh really, who promised you years sister, what if you sleep and didn't wake up tomorrow, i have seen many people died like that, healthy people, having no past health issues, died without any preparations",0,1,0,0
